Region,Category,Crafting Process,Base Material Price,Dimensions,Hours of Labor,Transport Distance,Price
West India,Toys,Handmade,1913.52,9156.02,57.8,854.8,3019.38
North India,Terracotta Pottery,Machine-Assisted,1909.58,1752.81,85.5,471.9,2756.76
North India,Terracotta Pottery,Machine-Assisted,737.04,1299.44,25.0,868.8,1025.22
South India,Painting & Decorative Arts,Hand-Painted,134.05,945.54,87.8,292.3,1234.5
West India,Bamboo Products,Handwoven,399.24,9103.49,2.9,129.7,492.56
South India,Painting & Decorative Arts,Machine-Assisted,814.82,2016.88,73.5,855.5,1543.58
South India,Toys,Machine-Assisted,1898.17,4221.22,93.4,587.8,2824.76
South India,Painting & Decorative Arts,Hand-Painted,325.34,4543.63,66.1,889.2,1208.87
East India,Textiles,Hand-Painted,1538.86,6030.21,44.5,937.9,2362.28
East India,Toys,Machine-Assisted,261.93,810.18,5.4,54.6,296.41
South India,Terracotta Pottery,Handwoven,1963.45,2344.91,92.1,501.5,3559.78
West India,Bamboo Products,Machine-Assisted,794.15,9321.75,47.6,375.6,1317.14
North India,Toys,Hand-Painted,1561.71,9093.26,3.9,626.2,1882.82
West India,Toys,Hand-Painted,718.05,7834.78,69.3,793.8,1721.81
Central India,Textiles,Machine-Assisted,1273.95,292.07,48.7,281.3,1766.87
East India,Bamboo Products,Handwoven,424.43,3337.37,13.3,557.2,688.49
North India,Terracotta Pottery,Machine-Assisted,334.74,6316.79,22.2,709.0,563.61
North India,Toys,Machine-Assisted,1879.23,2824.38,7.4,135.3,2012.71
Central India,Toys,Hand-Painted,1839.41,9104.91,57.9,814.3,2919.37
Central India,Textiles,Handwoven,1780.56,6375.51,62.6,606.5,2884.77
South India,Painting & Decorative Arts,Handmade,1269.6,811.88,51.1,949.6,2188.83
East India,Terracotta Pottery,Handwoven,1626.12,9099.16,81.9,340.2,2945.81
East India,Bamboo Products,Machine-Assisted,184.62,9581.89,86.2,109.0,1052.69
West India,Toys,Machine-Assisted,702.84,869.35,61.9,507.0,1337.54
South India,Toys,Machine-Assisted,661.72,5370.37,2.3,86.7,680.04
South India,Terracotta Pottery,Handwoven,1289.51,3103.31,69.8,969.6,2385.47
South India,Painting & Decorative Arts,Hand-Painted,744.12,3989.11,42.4,39.6,1372.41
South India,Toys,Machine-Assisted,339.59,1878.55,57.0,753.8,872.03
East India,Terracotta Pottery,Machine-Assisted,1213.11,5822.91,65.3,525.6,1816.18
East India,Textiles,Handwoven,1638.05,9584.0,35.7,369.3,2324.46
South India,Painting & Decorative Arts,Handmade,795.14,5080.42,91.8,66.8,2011.78
West India,Bamboo Products,Handmade,307.92,920.85,14.3,622.5,532.39
North India,Toys,Hand-Painted,433.54,6238.01,67.5,585.6,1335.4
North India,Terracotta Pottery,Hand-Painted,513.09,3468.21,1.4,281.6,618.94
West India,Textiles,Machine-Assisted,634.8,8573.66,92.5,910.3,1442.01
South India,Bamboo Products,Handwoven,1303.45,4403.31,12.1,304.8,1788.07
East India,Terracotta Pottery,Machine-Assisted,1221.84,2009.11,10.4,450.3,1380.16
North India,Terracotta Pottery,Hand-Painted,1407.36,1991.95,34.0,544.2,2119.12
Central India,Bamboo Products,Handwoven,756.88,7710.77,38.0,101.1,1459.63
Central India,Textiles,Handwoven,1656.8,2729.32,22.2,932.2,2205.69
West India,Textiles,Hand-Painted,447.97,7695.61,58.9,375.2,1338.75
South India,Painting & Decorative Arts,Handmade,964.63,2138.28,44.8,81.7,1646.9
North India,Toys,Handmade,1611.83,3284.7,4.4,387.9,1998.93
South India,Bamboo Products,Handwoven,401.31,4708.32,32.6,600.6,809.08
North India,Bamboo Products,Machine-Assisted,264.23,9437.64,81.2,514.1,1076.96
West India,Bamboo Products,Handmade,1773.18,9324.14,69.3,694.8,2978.72
West India,Textiles,Machine-Assisted,718.71,2148.03,72.8,56.4,1438.98
Central India,Toys,Handmade,1383.55,3646.37,70.1,285.3,2537.15
South India,Painting & Decorative Arts,Handmade,99.43,1579.05,31.8,819.4,505.87
Central India,Terracotta Pottery,Machine-Assisted,1395.59,5148.85,10.9,80.8,1478.47
South India,Terracotta Pottery,Hand-Painted,666.4,4659.77,28.0,855.6,1107.34
Central India,Bamboo Products,Handmade,158.69,9017.53,83.3,92.8,1230.57
East India,Toys,Handmade,1239.13,9307.05,98.1,834.6,2631.47
East India,Textiles,Machine-Assisted,519.57,3897.32,49.9,361.4,1064.34
East India,Toys,Hand-Painted,804.27,4968.21,2.0,612.6,1050.26
East India,Toys,Handmade,207.13,8972.74,14.9,153.7,343.92
North India,Textiles,Handmade,336.97,8086.41,32.9,67.1,855.81
East India,Bamboo Products,Hand-Painted,631.06,136.2,58.3,216.7,1559.89
West India,Toys,Handmade,225.03,3268.59,8.4,128.7,383.44
West India,Terracotta Pottery,Hand-Painted,1826.11,4275.56,94.4,313.1,3354.09
North India,Textiles,Hand-Painted,61.79,2374.19,37.1,514.9,571.2
East India,Painting & Decorative Arts,Machine-Assisted,993.53,2075.76,91.3,589.2,1892.76
East India,Bamboo Products,Handwoven,290.33,474.07,78.3,790.1,1297.11
East India,Textiles,Hand-Painted,649.97,6469.36,75.8,656.6,1623.85
Central India,Painting & Decorative Arts,Machine-Assisted,1855.82,2698.85,61.1,609.1,2473.75
South India,Painting & Decorative Arts,Handwoven,365.3,618.24,63.1,412.4,1220.47
Central India,Toys,Handmade,1933.37,2386.7,64.2,474.3,3116.25
South India,Toys,Handwoven,451.3,8038.95,63.2,415.1,1353.23
East India,Toys,Hand-Painted,1496.05,8529.74,55.8,842.3,2426.12
East India,Textiles,Hand-Painted,1116.02,4882.36,98.7,230.8,2496.99
Central India,Textiles,Hand-Painted,1774.73,4219.1,73.5,6.7,3106.45
Central India,Bamboo Products,Hand-Painted,1130.29,9780.75,77.9,651.7,2283.63
South India,Toys,Hand-Painted,1092.39,2085.59,87.4,203.3,2369.67
West India,Painting & Decorative Arts,Machine-Assisted,431.14,2232.06,22.3,890.2,650.79
South India,Terracotta Pottery,Hand-Painted,374.15,2989.49,9.3,859.2,519.5
Central India,Bamboo Products,Machine-Assisted,1837.15,1810.3,48.8,77.7,2406.33
Central India,Textiles,Handmade,689.28,3855.72,51.9,107.3,1423.55
North India,Bamboo Products,Hand-Painted,775.56,9117.26,83.1,495.7,1871.51
Central India,Bamboo Products,Hand-Painted,1531.66,6191.94,44.9,609.6,2354.25
North India,Bamboo Products,Handwoven,710.71,4178.27,57.5,275.6,1442.77
West India,Bamboo Products,Handmade,1906.52,9350.67,53.2,717.1,2893.66
South India,Terracotta Pottery,Hand-Painted,1488.96,579.8,4.8,595.3,1795.95
South India,Toys,Hand-Painted,1214.99,2181.73,61.9,325.5,2231.66
North India,Painting & Decorative Arts,Handmade,1767.75,5702.3,83.0,26.3,3083.63
South India,Bamboo Products,Machine-Assisted,146.73,6193.97,16.6,750.4,357.12
Central India,Bamboo Products,Hand-Painted,551.27,491.62,59.8,215.5,1449.05
East India,Bamboo Products,Handwoven,956.82,4090.08,59.8,834.6,1904.84
North India,Toys,Hand-Painted,492.61,6526.62,17.3,420.9,787.96
South India,Textiles,Handwoven,1500.62,7010.9,13.2,577.5,1966.2
North India,Textiles,Handwoven,1842.46,6417.59,98.0,873.1,3310.7
North India,Terracotta Pottery,Hand-Painted,876.35,3273.58,40.0,863.8,1524.93
East India,Textiles,Hand-Painted,717.16,1025.85,23.5,372.1,1099.57
Central India,Bamboo Products,Handwoven,1925.02,4328.41,18.0,209.7,2560.74
North India,Bamboo Products,Handmade,917.46,1374.67,67.1,775.4,2034.79
South India,Bamboo Products,Handmade,1003.64,9481.47,61.3,433.6,1964.96
West India,Terracotta Pottery,Hand-Painted,735.72,4804.19,64.7,192.8,1559.71
North India,Bamboo Products,Machine-Assisted,1823.62,3240.87,9.7,904.5,1902.56
North India,Textiles,Handmade,1159.46,7686.41,89.5,198.9,2471.48
East India,Toys,Hand-Painted,1536.24,5029.69,39.5,26.8,2321.86
Central India,Toys,Handmade,1633.02,3169.34,32.0,21.3,2307.08
West India,Painting & Decorative Arts,Machine-Assisted,716.61,8138.48,46.8,622.7,1196.87
South India,Textiles,Hand-Painted,895.7,8684.81,39.6,662.0,1487.91
West India,Bamboo Products,Machine-Assisted,1704.52,6762.78,86.5,311.7,2522.27
South India,Toys,Hand-Painted,758.35,564.95,93.0,320.7,2058.31
Central India,Textiles,Machine-Assisted,1598.17,5706.6,31.0,340.2,1857.39
South India,Toys,Handmade,1884.94,7656.62,86.5,680.5,3326.84
East India,Bamboo Products,Handmade,1265.26,1451.38,78.4,59.1,2390.64
East India,Toys,Machine-Assisted,1496.17,2363.84,93.1,929.2,2515.41
East India,Painting & Decorative Arts,Machine-Assisted,1619.94,8836.7,25.3,223.3,1834.23
East India,Painting & Decorative Arts,Machine-Assisted,1697.83,299.21,58.1,999.7,2267.65
West India,Toys,Hand-Painted,820.35,7552.0,28.2,172.4,1339.35
Central India,Textiles,Handmade,149.96,4790.36,82.6,771.8,1142.88
South India,Textiles,Hand-Painted,833.66,4523.04,1.5,224.2,1025.56
South India,Textiles,Handmade,1363.82,170.26,56.9,81.8,2348.15
East India,Toys,Handwoven,928.18,8212.04,34.6,875.1,1577.05
East India,Textiles,Hand-Painted,1510.48,3662.27,32.9,858.9,2246.95
North India,Bamboo Products,Handmade,746.12,5453.58,64.8,404.2,1664.35
Central India,Painting & Decorative Arts,Handmade,1287.75,6805.28,85.3,702.7,2561.57
West India,Bamboo Products,Hand-Painted,413.52,7056.03,61.3,557.5,1349.28
South India,Textiles,Hand-Painted,1511.27,9564.2,85.5,853.1,2887.02
North India,Bamboo Products,Handmade,1114.11,5360.27,27.2,315.7,1617.24
North India,Textiles,Hand-Painted,447.93,4057.22,52.4,524.1,1171.32
South India,Toys,Machine-Assisted,619.23,9541.67,45.6,485.9,1058.47
West India,Bamboo Products,Hand-Painted,1509.79,6456.89,2.2,354.6,1831.38
North India,Toys,Hand-Painted,991.07,3051.69,56.1,891.6,1801.01
North India,Toys,Hand-Painted,471.26,1352.0,66.5,166.7,1342.92
Central India,Terracotta Pottery,Handmade,1936.18,8441.29,59.6,150.4,3129.19
West India,Textiles,Machine-Assisted,1444.49,3685.6,73.9,577.3,2212.44
North India,Painting & Decorative Arts,Handwoven,1916.41,6638.65,57.6,657.8,2866.33
West India,Textiles,Handwoven,882.85,4761.08,7.6,195.4,1211.46
South India,Painting & Decorative Arts,Machine-Assisted,976.45,2069.4,12.5,391.3,1155.93
East India,Textiles,Machine-Assisted,1801.01,6056.7,60.1,946.6,2384.05
North India,Toys,Machine-Assisted,1073.85,700.76,28.2,247.4,1391.71
Central India,Bamboo Products,Handmade,1429.19,4192.09,8.9,668.7,1778.86
South India,Bamboo Products,Handwoven,541.74,5511.49,43.5,740.4,1148.58
West India,Terracotta Pottery,Machine-Assisted,921.12,4416.87,55.9,448.7,1555.05
South India,Painting & Decorative Arts,Handmade,290.73,7511.85,33.5,937.6,737.29
North India,Painting & Decorative Arts,Handwoven,451.66,8296.46,72.3,736.9,1316.11
West India,Painting & Decorative Arts,Hand-Painted,51.84,7735.31,64.7,458.5,835.44
East India,Toys,Handmade,126.57,484.25,33.9,569.8,554.75
South India,Painting & Decorative Arts,Handwoven,1955.7,2021.87,75.7,692.9,3315.16
North India,Bamboo Products,Handmade,522.59,5412.41,65.2,592.6,1410.22
Central India,Toys,Handwoven,1343.46,9354.74,64.1,878.8,2360.27
West India,Textiles,Handwoven,1686.24,8366.07,55.8,357.5,2745.34
South India,Painting & Decorative Arts,Hand-Painted,1123.79,8441.09,2.1,300.6,1379.79
South India,Painting & Decorative Arts,Handmade,348.63,3101.76,70.0,214.6,1220.85
East India,Textiles,Machine-Assisted,1469.83,4351.53,38.2,38.7,1909.58
East India,Painting & Decorative Arts,Hand-Painted,1220.49,4759.99,94.3,44.0,2605.87
Central India,Textiles,Hand-Painted,1475.94,1657.98,82.0,870.2,2755.27
Central India,Toys,Handwoven,1551.01,407.57,59.2,678.7,2580.51
North India,Bamboo Products,Machine-Assisted,1952.05,9474.34,26.0,660.9,2158.52
North India,Textiles,Handmade,1168.45,2483.05,21.2,615.0,1630.16
Central India,Terracotta Pottery,Machine-Assisted,716.2,2475.49,34.7,849.4,1063.38
Central India,Textiles,Machine-Assisted,1314.51,925.45,48.2,480.8,1786.78
West India,Painting & Decorative Arts,Machine-Assisted,183.46,9292.23,30.3,870.5,550.08
East India,Toys,Machine-Assisted,1799.92,5839.4,52.0,360.1,2330.79
North India,Toys,Machine-Assisted,282.79,6703.66,17.4,926.8,499.54
East India,Textiles,Handwoven,689.29,9124.61,97.8,699.0,2001.22
East India,Bamboo Products,Handwoven,1640.7,3521.64,11.7,257.9,2162.05
Central India,Terracotta Pottery,Hand-Painted,1214.76,6252.92,93.3,564.5,2597.19
West India,Toys,Handwoven,817.59,484.11,91.4,533.5,2078.58
South India,Painting & Decorative Arts,Hand-Painted,973.2,1949.05,53.0,138.8,1803.18
West India,Painting & Decorative Arts,Hand-Painted,1716.37,8329.33,72.8,591.7,2885.52
West India,Bamboo Products,Handmade,713.01,7691.01,44.2,315.5,1411.36
East India,Toys,Machine-Assisted,1745.82,3571.36,63.4,53.3,2377.81
West India,Textiles,Handwoven,221.86,3830.43,34.7,948.7,657.53
North India,Painting & Decorative Arts,Handmade,1564.76,5382.19,30.8,641.8,2302.64
East India,Bamboo Products,Handwoven,1702.72,102.39,58.2,877.0,2679.15
North India,Toys,Hand-Painted,404.54,2488.32,50.3,676.4,1067.92
South India,Toys,Handwoven,889.18,2161.49,58.4,357.6,1819.2
East India,Toys,Machine-Assisted,372.72,2579.78,29.4,513.2,682.5
South India,Toys,Hand-Painted,1427.88,8078.47,37.3,676.1,2158.66
East India,Toys,Hand-Painted,1093.93,2868.77,9.3,960.3,1436.87
Central India,Painting & Decorative Arts,Handmade,1288.88,1996.06,6.2,254.4,1630.03
West India,Bamboo Products,Machine-Assisted,433.15,5092.21,26.1,875.1,618.32
Central India,Toys,Hand-Painted,462.9,8669.89,8.4,924.2,638.82
South India,Terracotta Pottery,Machine-Assisted,130.92,2489.36,11.3,670.7,324.75
West India,Terracotta Pottery,Handwoven,678.03,877.51,81.5,931.3,1758.67
East India,Bamboo Products,Machine-Assisted,1141.5,3628.41,4.8,398.5,1173.58
West India,Textiles,Hand-Painted,1722.97,7501.75,66.2,953.1,2834.88
North India,Textiles,Handmade,1350.51,5551.84,28.0,703.1,1952.26
West India,Textiles,Hand-Painted,899.02,8186.25,87.3,43.0,2097.27
North India,Terracotta Pottery,Machine-Assisted,1908.58,9599.96,49.0,907.0,2422.92
West India,Textiles,Machine-Assisted,1452.53,7947.36,31.3,485.0,1775.4
North India,Painting & Decorative Arts,Hand-Painted,1863.82,6077.65,52.2,460.9,2901.66
South India,Toys,Machine-Assisted,1078.8,4984.08,38.8,566.9,1414.25
Central India,Terracotta Pottery,Handwoven,554.86,496.68,56.9,150.2,1331.61
East India,Bamboo Products,Hand-Painted,153.01,9844.79,12.3,469.7,319.93
West India,Bamboo Products,Handmade,1465.87,3896.46,99.7,831.3,2978.23
Central India,Toys,Hand-Painted,286.54,1607.06,43.1,16.5,821.39
East India,Terracotta Pottery,Handwoven,640.41,6700.42,35.5,273.6,1240.27
East India,Textiles,Handwoven,1088.32,2914.45,71.3,3.5,2220.9
North India,Textiles,Handwoven,1150.61,5899.2,37.0,416.3,1775.29
South India,Painting & Decorative Arts,Handwoven,1221.14,5909.0,83.5,728.6,2442.82
South India,Painting & Decorative Arts,Handwoven,374.2,4512.73,46.0,799.0,974.44
Central India,Textiles,Handmade,790.49,8377.57,72.2,945.2,1946.61
South India,Bamboo Products,Machine-Assisted,1253.53,2723.17,11.6,608.9,1348.03
West India,Bamboo Products,Handwoven,1941.15,4541.46,84.8,255.4,3430.86
South India,Painting & Decorative Arts,Handwoven,1468.88,5423.15,73.8,924.2,2584.92
Central India,Toys,Hand-Painted,1849.08,6669.88,22.0,775.5,2433.41
South India,Textiles,Handmade,1536.31,7861.32,15.4,574.9,1994.04
West India,Painting & Decorative Arts,Handmade,1203.85,4008.59,32.3,695.9,1789.94
North India,Painting & Decorative Arts,Machine-Assisted,424.45,6495.86,97.6,924.4,1387.06
Central India,Textiles,Handmade,1350.04,1591.05,26.4,712.7,1901.41
North India,Textiles,Hand-Painted,1265.59,9333.22,46.2,369.0,2032.14
North India,Bamboo Products,Hand-Painted,1224.81,3892.28,4.0,713.3,1575.7
North India,Toys,Machine-Assisted,1005.08,7322.26,40.3,41.2,1469.27
East India,Toys,Hand-Painted,1080.88,301.38,57.6,387.0,2035.72
East India,Textiles,Handwoven,702.16,2131.35,95.4,406.9,2013.59
North India,Terracotta Pottery,Handwoven,1062.66,4922.12,52.2,167.7,1906.23
Central India,Painting & Decorative Arts,Hand-Painted,435.23,8794.7,82.1,24.1,1482.62
West India,Painting & Decorative Arts,Machine-Assisted,1620.09,5319.83,55.2,134.2,2124.43
West India,Textiles,Handmade,412.27,9305.72,5.0,655.0,572.87
South India,Terracotta Pottery,Machine-Assisted,215.68,4889.59,32.2,802.5,479.0
Central India,Bamboo Products,Handmade,900.68,4955.45,58.0,988.2,1727.12
East India,Textiles,Hand-Painted,1333.7,1285.49,95.1,347.0,2799.29
North India,Textiles,Hand-Painted,903.55,8046.3,86.1,599.8,2212.49
South India,Painting & Decorative Arts,Handwoven,589.67,2544.96,23.6,937.2,1010.47
West India,Textiles,Handmade,1138.43,9006.16,22.8,167.9,1695.04
East India,Textiles,Machine-Assisted,726.65,9117.16,20.9,717.9,923.36
East India,Textiles,Hand-Painted,1869.09,9438.77,92.3,755.2,3283.62
North India,Painting & Decorative Arts,Machine-Assisted,1849.16,5250.28,85.4,89.9,2733.77
West India,Bamboo Products,Handwoven,1029.63,6803.23,77.7,861.4,2196.42
Central India,Bamboo Products,Handmade,689.37,7807.31,39.9,813.3,1309.63
East India,Textiles,Handmade,1487.41,1397.04,50.9,34.4,2383.57
North India,Painting & Decorative Arts,Hand-Painted,121.59,6049.48,47.0,92.0,758.02
Central India,Bamboo Products,Handmade,975.8,439.55,26.1,50.1,1434.87
West India,Bamboo Products,Hand-Painted,705.83,5025.9,51.0,335.4,1420.31
East India,Bamboo Products,Handwoven,1845.04,1632.94,4.0,509.8,2211.64
Central India,Painting & Decorative Arts,Handmade,73.41,1910.94,14.0,532.8,260.34
Central India,Painting & Decorative Arts,Hand-Painted,1127.99,3713.97,88.8,268.4,2364.79
Central India,Textiles,Machine-Assisted,1494.29,4381.13,75.4,911.7,2214.08
East India,Toys,Hand-Painted,995.79,6269.41,42.9,368.9,1674.46
East India,Bamboo Products,Handmade,216.54,836.84,52.2,46.5,873.22
South India,Toys,Handwoven,1946.3,5086.55,37.6,300.9,2712.39
West India,Painting & Decorative Arts,Handmade,1060.12,1907.99,74.3,531.6,2168.1
North India,Painting & Decorative Arts,Handmade,1247.66,5782.35,78.6,408.8,2502.76
Central India,Painting & Decorative Arts,Hand-Painted,511.39,6410.31,76.6,274.6,1539.64
South India,Toys,Machine-Assisted,992.82,5611.42,72.5,132.2,1794.89
North India,Painting & Decorative Arts,Handmade,886.84,7409.13,21.2,819.3,1385.31
South India,Textiles,Machine-Assisted,196.05,3422.53,34.5,996.1,579.94
East India,Painting & Decorative Arts,Hand-Painted,257.01,7674.56,47.5,330.2,882.15
Central India,Terracotta Pottery,Machine-Assisted,1683.07,4384.39,33.7,382.2,2021.2
North India,Toys,Hand-Painted,517.65,4893.43,75.7,618.4,1567.77
North India,Terracotta Pottery,Handwoven,430.17,6516.21,33.6,718.7,899.82
North India,Painting & Decorative Arts,Machine-Assisted,1034.58,281.75,14.7,392.6,1087.45
North India,Textiles,Machine-Assisted,1549.06,6574.54,40.5,905.0,1978.66
North India,Bamboo Products,Handwoven,170.8,6223.99,98.0,560.4,1324.41
South India,Painting & Decorative Arts,Machine-Assisted,1174.78,3167.49,23.4,450.9,1360.67
Central India,Textiles,Handwoven,282.46,949.36,61.6,647.0,1078.16
East India,Toys,Handmade,121.1,1000.26,43.9,952.9,667.36
East India,Terracotta Pottery,Hand-Painted,152.85,9239.92,8.0,794.8,208.82
East India,Terracotta Pottery,Handwoven,1676.62,6923.87,49.3,41.0,2611.82
East India,Terracotta Pottery,Machine-Assisted,280.05,1358.32,70.5,333.0,1033.36
South India,Toys,Handwoven,138.05,3631.56,51.8,471.1,730.84
West India,Textiles,Machine-Assisted,903.9,5965.58,87.3,315.2,1840.52
Central India,Toys,Handmade,1695.79,8372.16,29.6,700.5,2312.14
North India,Terracotta Pottery,Handwoven,561.7,532.24,9.5,826.4,893.91
West India,Painting & Decorative Arts,Handmade,872.34,2442.67,93.7,731.6,2150.64
East India,Bamboo Products,Hand-Painted,127.85,8908.52,38.4,989.3,621.5
West India,Toys,Machine-Assisted,925.7,190.74,58.1,273.3,1412.1
Central India,Toys,Machine-Assisted,1176.35,2093.85,79.4,875.1,1967.24
North India,Textiles,Handmade,1163.27,9594.34,33.1,766.9,1804.55
North India,Textiles,Hand-Painted,698.23,6172.68,71.9,362.8,1696.37
Central India,Toys,Handwoven,665.29,2690.55,14.4,734.4,942.99
Central India,Terracotta Pottery,Handwoven,257.92,763.21,29.8,105.0,619.78
East India,Bamboo Products,Machine-Assisted,765.26,379.09,15.3,789.5,974.79
North India,Textiles,Handmade,244.01,2522.98,81.3,532.8,1269.95
West India,Terracotta Pottery,Handmade,1544.86,8826.71,23.0,293.0,2206.87
South India,Painting & Decorative Arts,Handwoven,1934.23,4217.55,72.0,656.1,3158.75
South India,Textiles,Hand-Painted,1941.65,7231.3,94.4,642.0,3441.04
Central India,Terracotta Pottery,Hand-Painted,1736.89,9191.02,53.2,210.3,2763.45
East India,Terracotta Pottery,Handwoven,1221.54,4139.6,54.5,31.4,2038.7
South India,Bamboo Products,Handwoven,1416.69,1993.65,46.6,434.2,2198.55
North India,Bamboo Products,Handmade,606.15,5219.47,33.3,569.9,1181.85
Central India,Painting & Decorative Arts,Hand-Painted,1280.0,9090.03,48.1,876.7,2054.6
West India,Terracotta Pottery,Handwoven,938.52,8063.31,60.7,928.3,1763.67
Central India,Terracotta Pottery,Handwoven,989.93,751.72,98.6,529.3,2464.54
West India,Bamboo Products,Machine-Assisted,1527.66,6956.47,93.8,754.0,2395.97
Central India,Textiles,Handwoven,599.74,5761.79,86.4,439.9,1765.69
Central India,Textiles,Handwoven,670.18,9083.89,89.0,746.3,1875.67
Central India,Toys,Hand-Painted,1853.05,1312.57,47.3,205.6,2650.73
West India,Bamboo Products,Handmade,159.64,5386.96,66.1,371.7,971.4
West India,Toys,Hand-Painted,996.99,8806.68,89.6,634.6,2294.01
Central India,Bamboo Products,Handmade,1829.96,4159.24,39.9,19.1,2692.47
South India,Painting & Decorative Arts,Machine-Assisted,1240.21,4871.75,96.2,722.7,2247.39
East India,Terracotta Pottery,Handwoven,1115.49,797.56,42.2,835.7,1825.61
East India,Painting & Decorative Arts,Machine-Assisted,537.0,2853.62,60.5,399.7,1177.63
East India,Bamboo Products,Handmade,719.39,3312.62,71.3,448.5,1684.4
West India,Terracotta Pottery,Hand-Painted,1711.49,9456.71,95.1,851.4,3124.46
West India,Textiles,Hand-Painted,1140.48,2898.41,25.2,775.9,1606.09
South India,Textiles,Machine-Assisted,1053.75,4662.6,74.9,288.9,1729.64
East India,Toys,Handmade,244.18,6745.91,52.6,324.7,974.7
East India,Bamboo Products,Machine-Assisted,81.25,1705.62,27.6,679.2,281.52
Central India,Bamboo Products,Machine-Assisted,1929.19,4915.78,77.9,563.6,2721.89
West India,Textiles,Handwoven,785.12,7411.54,55.7,163.1,1597.25
East India,Painting & Decorative Arts,Machine-Assisted,1226.27,8681.87,66.4,310.6,1885.14
South India,Terracotta Pottery,Handwoven,205.44,6299.97,33.0,900.1,710.71
South India,Painting & Decorative Arts,Handwoven,1382.07,6723.63,48.6,688.5,2219.76
East India,Painting & Decorative Arts,Hand-Painted,1868.51,1350.21,62.1,986.0,3017.99
West India,Textiles,Handwoven,1172.55,9463.19,41.1,767.2,1902.14
South India,Textiles,Handwoven,295.92,1412.48,20.6,942.0,594.7
Central India,Textiles,Hand-Painted,1184.36,7769.26,96.2,217.0,2690.63
South India,Toys,Machine-Assisted,1544.38,2721.68,51.6,771.7,1988.31
North India,Painting & Decorative Arts,Handmade,842.51,9342.57,73.7,21.2,1959.87
North India,Bamboo Products,Handmade,1765.68,7227.6,41.7,671.1,2652.04
West India,Terracotta Pottery,Handmade,1314.93,7562.76,36.2,469.8,1988.34
East India,Toys,Machine-Assisted,1803.54,2268.69,41.3,347.4,2298.01
West India,Bamboo Products,Handwoven,1265.84,4486.1,41.5,862.5,1924.6
West India,Painting & Decorative Arts,Handmade,306.01,6216.35,54.9,854.4,999.92
West India,Textiles,Machine-Assisted,653.9,7722.74,54.8,23.3,1141.48
West India,Painting & Decorative Arts,Handwoven,443.5,1129.2,50.2,609.9,1155.2
Central India,Terracotta Pottery,Hand-Painted,1822.21,9627.42,14.3,368.5,2302.6
Central India,Toys,Handmade,1532.78,8913.18,50.1,416.2,2462.19
South India,Toys,Handwoven,1368.98,2776.45,17.7,832.2,1845.85
North India,Terracotta Pottery,Handmade,636.88,8245.33,13.5,310.5,902.29
West India,Bamboo Products,Handmade,408.89,5231.41,93.3,943.1,1629.7
South India,Bamboo Products,Handmade,1525.08,4671.88,60.9,180.5,2547.46
North India,Toys,Handwoven,974.61,3212.9,66.3,663.1,1910.7
East India,Toys,Machine-Assisted,490.29,5851.59,40.8,672.4,1038.36
Central India,Textiles,Handwoven,1252.41,7325.9,91.0,252.9,2570.53
North India,Bamboo Products,Handmade,128.65,4168.24,64.2,325.4,813.9
East India,Terracotta Pottery,Handwoven,686.03,6329.27,77.1,835.0,1706.33
North India,Bamboo Products,Hand-Painted,963.69,7023.2,37.5,762.0,1543.06
Central India,Textiles,Machine-Assisted,338.52,7140.11,96.0,329.8,1339.83
Central India,Toys,Handwoven,1970.08,614.46,82.2,534.4,3366.58
South India,Toys,Hand-Painted,457.74,8611.5,85.5,62.6,1595.22
West India,Textiles,Machine-Assisted,304.19,4636.71,18.0,209.5,465.69
North India,Terracotta Pottery,Hand-Painted,446.89,2697.92,27.8,486.3,855.9
North India,Toys,Machine-Assisted,1549.67,2493.47,29.3,86.9,1824.12
East India,Painting & Decorative Arts,Handwoven,879.74,4881.84,27.8,843.5,1385.23
Central India,Toys,Hand-Painted,1152.56,8879.63,85.7,718.3,2453.24
North India,Painting & Decorative Arts,Handmade,90.97,3845.64,4.2,943.7,176.37
Central India,Textiles,Hand-Painted,117.14,7522.28,8.5,693.8,267.57
North India,Textiles,Machine-Assisted,919.36,1058.51,28.1,940.5,1225.34
South India,Toys,Handwoven,1642.48,4812.96,20.8,555.0,2264.8
West India,Bamboo Products,Machine-Assisted,1776.22,9917.69,24.0,600.6,2030.63
North India,Painting & Decorative Arts,Hand-Painted,219.08,7727.33,80.0,977.0,1240.84
Central India,Terracotta Pottery,Hand-Painted,1099.81,2184.23,56.7,642.5,2059.61
South India,Toys,Handmade,1830.8,5064.27,1.6,31.8,2182.91
North India,Terracotta Pottery,Handwoven,806.55,2412.89,43.5,724.1,1447.07
East India,Toys,Handwoven,1667.65,4154.65,41.4,905.6,2438.68
West India,Bamboo Products,Hand-Painted,310.71,7822.83,12.3,795.8,529.6
North India,Bamboo Products,Handwoven,1874.02,7735.13,67.9,584.2,2970.94
South India,Bamboo Products,Handmade,1515.28,2358.19,70.5,671.6,2687.44
East India,Bamboo Products,Machine-Assisted,1885.6,9230.01,72.4,990.2,2604.14
South India,Textiles,Handwoven,1369.4,5966.43,73.1,91.6,2577.21
South India,Textiles,Hand-Painted,758.64,3861.25,1.0,667.6,888.77
East India,Painting & Decorative Arts,Machine-Assisted,1879.45,5069.16,95.4,284.1,2823.28
